split,posteam,drive_qb,drives,ppd,rank,rank.display
1-9,SF,Brock Purdy,76,2.526315789473684,1,1/38
1-9,MIA,Tua Tagovailoa,91,2.340659340659341,2,2/38
1-9,DAL,Dak Prescott,71,2.323943661971831,3,3/38
1-9,PHI,Jalen Hurts,91,2.3076923076923075,4,4/38
1-9,BUF,Josh Allen,86,2.2325581395348837,5,5/38
1-9,LAC,Justin Herbert,84,2.0357142857142856,6,6/38
1-9,BAL,Lamar Jackson,97,2.0103092783505154,7,7/38
1-9,KC,Patrick Mahomes,88,1.9772727272727273,8,8/38
1-9,LA,Matthew Stafford,78,1.9230769230769231,9,9/38
1-9,LV,Aidan O'Connell,25,1.92,10,10/38
1-9,HOU,C.J. Stroud,86,1.9186046511627908,11,11/38
1-9,TEN,Will Levis,21,1.8571428571428572,12,12/38
1-9,DET,Jared Goff,87,1.8275862068965518,13,13/38
1-9,MIN,Kirk Cousins,76,1.8157894736842106,14,14/38
1-9,IND,Gardner Minshew,74,1.7432432432432432,15,15/38
1-9,IND,Anthony Richardson,30,1.7,16,16/38
1-9,JAX,Trevor Lawrence,90,1.7,16,16/38
1-9,DEN,Russell Wilson,80,1.6875,18,18/38
1-9,SEA,Geno Smith,80,1.6875,18,18/38
1-9,CLE,P.J. Walker,36,1.6666666666666667,20,20/38
1-9,TEN,Ryan Tannehill,56,1.6607142857142858,21,21/38
1-9,TB,Baker Mayfield,83,1.6265060240963856,22,22/38
1-9,CIN,Joe Burrow,80,1.575,23,23/38
1-9,GB,Jordan Love,83,1.5542168674698795,24,24/38
1-9,CLE,Deshaun Watson,53,1.528301886792453,25,25/38
1-9,CHI,Justin Fields,59,1.5254237288135593,26,26/38
1-9,ARI,Joshua Dobbs,83,1.5180722891566265,27,27/38
1-9,CHI,Tyson Bagent,32,1.5,28,28/38
1-9,WAS,Sam Howell,104,1.5,28,28/38
1-9,NO,Derek Carr,81,1.4444444444444444,30,30/38
1-9,LV,Jimmy Garoppolo,53,1.3584905660377358,31,31/38
1-9,PIT,Kenny Pickett,75,1.32,32,32/38
1-9,ATL,Desmond Ridder,82,1.2439024390243902,33,33/38
1-9,NYJ,Zach Wilson,94,1.053191489361702,34,34/38
1-9,NE,Mac Jones,91,0.989010989010989,35,35/38
1-9,CAR,Bryce Young,75,0.96,36,36/38
1-9,NYG,Tyrod Taylor,33,0.7272727272727273,37,37/38
1-9,NYG,Daniel Jones,50,0.6,38,38/38
10-16,DAL,Dak Prescott,61,2.9508196721311477,1,1/39
10-16,SF,Brock Purdy,67,2.5970149253731343,2,2/39
10-16,DET,Jared Goff,73,2.4246575342465753,3,3/39
10-16,BUF,Josh Allen,60,2.4,4,4/39
10-16,LA,Matthew Stafford,64,2.34375,5,5/39
10-16,GB,Jordan Love,67,2.283582089552239,6,6/39
10-16,BAL,Lamar Jackson,65,2.169230769230769,7,7/39
10-16,MIA,Tua Tagovailoa,60,2.15,8,8/39
10-16,SEA,Geno Smith,46,2.0869565217391304,9,9/39
10-16,TB,Baker Mayfield,72,2,10,10/39
10-16,MIN,Nick Mullens,23,1.9565217391304348,11,11/39
10-16,PHI,Jalen Hurts,60,1.8,12,12/39
10-16,CIN,Jake Browning,58,1.7586206896551724,13,13/39
10-16,DEN,Russell Wilson,79,1.7468354430379747,14,14/39
10-16,CHI,Justin Fields,57,1.6842105263157894,15,15/39
10-16,NO,Derek Carr,49,1.653061224489796,16,16/39
10-16,JAX,Trevor Lawrence,69,1.6521739130434783,17,17/39
10-16,HOU,C.J. Stroud,55,1.6363636363636365,18,18/39
10-16,CLE,Joe Flacco,67,1.6119402985074627,19,19/39
10-16,KC,Patrick Mahomes,62,1.596774193548387,20,20/39
10-16,ARI,Kyler Murray,60,1.5,21,21/39
10-16,SEA,Drew Lock,23,1.434782608695652,22,22/39
10-16,LAC,Justin Herbert,47,1.4042553191489362,23,23/39
10-16,ATL,Desmond Ridder,43,1.3953488372093024,24,24/39
10-16,PIT,Kenny Pickett,35,1.3714285714285714,25,25/39
10-16,IND,Gardner Minshew,63,1.3333333333333333,26,26/39
10-16,NYJ,Zach Wilson,35,1.2857142857142858,27,27/39
10-16,PIT,Mitchell Trubisky,26,1.2692307692307692,28,28/39
10-16,MIN,Joshua Dobbs,41,1.2439024390243902,29,29/39
10-16,NYG,Tommy DeVito,59,1.2203389830508475,30,30/39
10-16,LV,Aidan O'Connell,69,1.2173913043478262,31,31/39
10-16,TEN,Will Levis,65,1.2,32,32/39
10-16,LAC,Easton Stick,31,1.064516129032258,33,33/39
10-16,NE,Bailey Zappe,54,1.0555555555555556,34,34/39
10-16,CAR,Bryce Young,73,0.9452054794520548,35,35/39
10-16,NYJ,Trevor Siemian,37,0.8918918918918919,36,36/39
10-16,WAS,Sam Howell,63,0.8095238095238095,37,37/39
10-16,HOU,Case Keenum,20,0.6,38,38/39
10-16,NYJ,Tim Boyle,22,0.2727272727272727,39,39/39
